
Subcatchment Runoff
                	          	          	          	          	          	          	          	          	          	          
                	Total
    	Total
    	Total
    	Total
    	Imperv
   	Perv
     	Total
    	Total
    	Peak
     	          
                	Precip
   	Runon
    	Evap
     	Infil
    	Runoff
   	Runoff
   	Runoff
   	Runoff
   	Runoff
   	Runoff
   
Subcatchment    	mm        	mm        	mm        	mm        	mm        	mm        	mm        	10^6 ltr  	LPS       	Coeff     
S_1             	18.17     	0.00      	0.00      	10.68     	6.22      	0.00      	6.22      	0.02      	22.63     	0.342     
S_2             	18.17     	0.00      	0.00      	0.66      	16.20     	0.00      	16.20     	0.11      	113.66    	0.892     
S_3             	18.17     	0.00      	0.00      	6.10      	10.78     	0.00      	10.78     	0.04      	40.55     	0.594     
S_4             	18.17     	0.00      	0.00      	11.49     	5.41      	0.00      	5.41      	0.03      	33.88     	0.298     
S_5             	18.17     	0.00      	0.00      	9.93      	6.97      	0.00      	6.97      	0.02      	26.76     	0.384     
S_6             	18.17     	0.00      	0.00      	4.07      	12.80     	0.00      	12.80     	0.13      	130.49    	0.704     
S_7             	18.17     	0.00      	0.00      	1.66      	15.17     	0.00      	15.17     	0.13      	120.66    	0.835     
S_8             	18.17     	0.00      	0.00      	4.59      	12.28     	0.00      	12.28     	0.09      	101.23    	0.676     
S_9             	18.17     	0.00      	0.00      	15.29     	1.62      	0.00      	1.62      	0.01      	7.23      	0.089     
S_10            	18.17     	0.00      	0.00      	9.64      	7.25      	0.00      	7.25      	0.05      	54.77     	0.399     
S_11            	18.17     	0.00      	0.00      	3.07      	13.79     	0.00      	13.79     	0.07      	72.88     	0.759     
S_12            	18.17     	0.00      	0.00      	15.40     	1.50      	0.00      	1.50      	0.01      	6.93      	0.082     
S_13            	18.17     	0.00      	0.00      	15.87     	1.03      	0.00      	1.03      	0.00      	5.17      	0.057     
S_14            	18.17     	0.00      	0.00      	14.47     	2.43      	0.00      	2.43      	0.01      	9.85      	0.134     
S_15            	18.17     	0.00      	0.00      	4.08      	12.78     	0.00      	12.78     	0.11      	109.94    	0.703     
S_16            	18.17     	0.00      	0.00      	15.23     	1.67      	0.00      	1.67      	0.01      	8.24      	0.092     
S_17            	18.17     	0.00      	0.00      	15.64     	1.26      	0.00      	1.26      	0.01      	7.06      	0.070     
S_18            	18.17     	0.00      	0.00      	2.84      	14.03     	0.00      	14.03     	0.05      	55.14     	0.772     
S_19            	18.17     	0.00      	0.00      	12.29     	4.61      	0.00      	4.61      	0.02      	21.33     	0.254     
S_20            	18.17     	0.00      	0.00      	3.96      	12.92     	0.00      	12.92     	0.07      	74.75     	0.711     
S_21            	18.17     	0.00      	0.00      	3.10      	13.76     	0.00      	13.76     	0.10      	100.75    	0.757     
S_22            	18.17     	0.00      	0.00      	0.03      	16.71     	0.00      	16.71     	0.52      	371.54    	0.920     
S_23            	18.17     	0.00      	0.00      	5.08      	11.75     	0.00      	11.75     	0.15      	132.39    	0.647     
S_24            	18.17     	0.00      	0.00      	2.56      	14.27     	0.00      	14.27     	0.23      	206.26    	0.786     
S_25            	18.17     	0.00      	0.00      	3.52      	13.30     	0.00      	13.30     	0.18      	154.13    	0.732     
